hsn_code,description
1901.10.90,Other
1901.20.00,Mixes and doughs for the preparation of bakers' wares of heading 1905
1901.90,Other
1901.90.10,Malt extract
1901.90.90,Other
1902.11,containing eggs
1902.11.00,Containing eggs
1902.19,Other
1902.19.00,Other
1902.20,"Stuffed pasta, whether or Not cooked or otherwise prepared"
1902.20.10,Cooked
1902.20.90,Other
1902.30,Other pasta
1902.30.10,Dried
1902.30.90,Other
1902.40,Couscous
1902.40.10,Unprepared
1902.40.90,Other
1903.00.00,"STARCH, IN THE FORM OF FLAKES, GRAINS, PEARLS, SIFTINGS"
1904,(corn)) in grain form or in the form of flakes or other worked grains
1904.10.10,Corn flakes
1904.10.20,"Paws, mudi and the like"
1904.10.30,Bulgur wheat
1904.10.90,Other
1904.20,Mixtures of unroasted cereal Flakes and roasted cereal Flakes or
1904.30,Bulgur wheat
1904.30.00,Bulgur wheat
1904.90,Other
1904.90.00,Other
1905.10,Crispbread
1905.10.00,Crisbread
1905.20,Gingerbread and the like
1905.20.00,Gingerbread and the like Sweet biscuits; waffles and wafers:
1905.31,Sweet biscuits
1905.31.00,Sweet biscuits
1905.32,Waffles and wafers
1905.32.11,Coated with chocolate or containing chocolate
1905.32.19,Other
1905.32.90,Other
1905.40,"Rusks, toasted bread and similar toasted Products"
1905.40.00,"Rusks, toasted bread and similar toasted products"
1905.90,Other
1905.90.10,Pastries and cakes
1905.90.20,Biscuits not elsewhere specified or included
1905.90.30,"Extruded or expanded products, savoury or salted"
1905.90.40,Papad
1905.90.90,Other
2001.10,Cucumbers and gherkins
2001.10.00,Cucumbers and gherkins
2001.90,Other
2001.90.00,Other
2002.10,"Tomatoes, whole or in pieces"
2002.10.00,"Tomatoes, whole or in pieces"
2002.90,Other
2002.90.00,Other
2003.10.00,Mushrooms of the genus Agaricus
2003.90,Other
2003.9010,Truffles
2003.90.90,Other
2004.10,Potatoes
2004.10.00,Potatoes
2004.90,Other vegetables and Mixtures of vegetables
2004.90.00,Other vegetables and mixtures of vegetables
2005.10,Homogenised vegetables
2005.10.00,Homogenised vegetables
2005.20,Potatoes
2005.20.00,Potatoes
2005.40,Peas (Pisum sativum)
2005.40.00,"Peas (pisum, sativum)"
2005.51,"Beans, Shelled"
2005.51.00,"Beans, shelled"
2005.59,Other
2005.59.00,Other
2005.60,Asparagus
2005.60.00,Asparagus
2005.70,Olives
2005.70.00,Olives
2005.80,Sweet corn (Zea mays var. saccharata)
2005.80.00,Sweet corn (Zea mays var. saccharata)
2005.91,Bamboo shoots
2005.91.00,Other vegetables and mixtures of vegetables-Bamboo shoots
2005.99,Other
2005.99.00,Other
2006.00.00,"PLANTS, PRESERVED BY SUGAR (DRAINED, GLACE OR"
2007,"pastes, obtained by cooking, whether or not containing added sugar"
2007.10,Homogenised Preparations
2007.10.00,Homogenised preparations
2007.91,Citrus fruit
2007.91.00,Citrus fruit
2007.99,Other
2007.99.10,mango
2007.99.20,Guava
2007.99.30,Pine apple
2007.99.40,Apple
2007.99.90,Other
2008,"preserved, whether or not containing added sugar or other"
2008.11.00,Ground-nuts
2008.19,"Other, including Mixtures"
2008.19.10,"Cashew nut, roasted, salted or roasted and salted"
2008.19.20,Other roasted nuts and seeds
2008.19.30,"Other nuts, otherwise preparted or preserved"
2008.19.40,Other roasted and fried vegetable products
2008.19.90,Other
2008.20.00,Pineapple
2008.30,Citrus fruit
2008.30.10,Orange
2008.30.90,Other
2008.40.00,Pears
2008.50.00,Apricots
2008.60.00,Cherries
2008.70.00,"Peaches, including nectarines"
2008.80.00,Strawberries
2008.91.00,Palm hearts
2008.93,00
20089700,Mixtures
2008.99,Other
2008.99.11,Mango
2008.99.12,Lemon
2008.99.13,Orange
2008.99.14,Pineapple
2008.99.19,Other
2008.99.91,Fruit cocktail
2008.99.92,Grapes
2008.99.93,Apples
2008.99.94,Guava
2008.99.99,Other
2009,"unfermented and not containing added spirit, whether or not"
2009.11.00,Frozen
2009.12.00,"Not frozen, or a Brix value not exceeding 20"
2009.1900,Other
2009.2100,-- Of a Brix value not exceeding 20
2009.29.00,Other
2009.3100,-- Of a Brix value not exceeding 20
2009.39.00,Other
2009.4100,-- Of a Brix value not exceeding 20
2009.49.00,Other
2009.50.00,Tomato juice
2009.6100,-- Of a Brix value not exceeding 30
2009.69.00,Other
2009.7100,-- Of a Brix value not exceeding 20
2009.79.00,Other
2009.8100,"Cranberries(Vaccinium macrocarpon, Vaccinium oxycoccos"
200989,Other
2009.89.10,Mango juice
2009.89.90,other
2009.90.00,Mixtures of juices
2101.11,"Extracts, essences and concentrates"
2101.11.10,"Instant coffee, flavoured"
2101.11.20,"Instant coffee, not flovered"
2101.11.30,Coffee aroma
2101.11.90,Other
2101.20,Bellies (streaky) and cuts thereof
2101.20.10,Instant tea
2101.20.20,Quick brewing black tea
2101.20.30,Tea aroma
2101.20.90,Other
2101.30.10,Roasted chicory
2101.30.20,Roasted coffee substitutes
2101.30.90,Other
2102,(but not including vaccines of heading 3002); prepared baking
2102.10,active yeasts
2102.10.10,Culture yeast
2102.10.20,Baker's yeast
2102.10.90,Other
2102.20,"- Inactive yeasts; other single-cell micro-organisms, dead"
2102.20.00,"Inactive yeasts, other single-cell micro-organisms, dead"
2102.30,prepared baking Powders
2102.30.00,Preparted baking powders
2103.10,soya sauce
2103.10.00,Soya sauce
2103.20,Tomato ketchup and Other Tomato sauces
2103.20.00,Tomato ketchup and other tomato sauces
2103.30,Mustard flour and meal and prepared Mustard
2103.30.00,Mustard flour and meal and prepared mustard
2103.90,Other
2103.90.10,Curry paste
2103.90.20,Chilli sauce
2103.90.30,Majonnaise and salad dressings
2103.90.40,"Mixed, condiments and mixed seasoning"
2103.90.90,Other
2104.10,Soups and broths and Preparations therefor
2104.10.10,Dried
2104.10.90,Other
2104.20,Homogenised composite food Preparations
2104.20.00,Homogenised composite food preparations
2105,"Ice cream and other edible ice, whether or not containing cocoa."
2105.00,"Ice cream and other edible ice, whether or not containing cocoa."
2106,Food preparations not elsewhere specified or included.
2106.10,Protein concentrates and textured Protein substances
2106.10.00,Protein concentrates and textured protein substances.
2106.90,Other
2106.90.11,Sharbat
2106.90.19,Other
2106.90.20,Pan masala
2106.90.30,"Betel nut product known as ""Supari"""
2106.90.40,elsewhere specified or included; lactose syrup; glucose syrup and malto
2106.90.50,Compound preparations for making non-alcoholic beverages
2106.90.60,Food flavouring material
2106.90.70,Churna for pan
2106.90.80,Custard powder
2106.90.91,Diabetic foods
2106.90.92,Sterilized or pasteurized millstone
2106.90.99,Other
2201,"waters, not containing added sugar or other sweetening matter nor"
2201.10,mineral waters and aerated waters
2201.10.10,Mineral waters
2201.10.20,Aerated waters
2201.90,Other
2201.90.10,Ice and snow
2201.90.90,Other
2202.10.10,Aerated waters
2202.10.20,Lemonade
2202.10.90,Other
22029100,Non alcoholic beer
220299,Other:
22029910,"Soya milk drinks, whether or not sweetened or flavoured"
22029920,Fruit pulp or fruit juice based drink
22029930,Beverages containing milk
22029990,Other
2203,Beer made from malt.
2203.00,Beer made from malt.
2203.00.00,BEER MADE FROM MALT
2204.10,Sparkling wine
2204.10.00,Sparkling wine
2204.21,-- In containers holding 2 l or less
2204.21.10,Port and other red wines
2204.21.20,Sherry and other white wines
2204.21.90,other
220422,In containers holding more than 2 l but not more than 10 l
22042210,Port and other red wines
22042220,Sherry and other white wines
22042290,Other
2204.29,Other
2204.29.10,Port and other red wines
2204.29.20,Sherry and other white wines
2204.29.90,Other
2204.30,Other grape must
2204.30.00,Other grape must
2205.10,- In containers holding 2 l or less
2205.10.00,In containers holding 21 or less
2205.90,Other
2205.90.00,Other
2207,"80% vol or higher; ethyl alcohol and other spirits, denatured, of any"
2207.10.11,Concentrates of alcoholic beverages
2207.10.19,Other
2207.10.90,Other
2207.20,"ethyl alcohol and Other spirits, denatured, of any strength"
2207.20.00,"Ethyl alcohol and other spirits, denatured, of any strength"
2208.20,spirits obtained by distilling grape wine or grape marc
2208.20.11,Brandy
2208.20.12,Liquors
2208.20.19,Other
2208.20.91,Brandy
2208.20.92,Liquors
2208.20.99,Other
2208.30,Whiskies
2208.30.11,Bourbon whiskey
2208.30.12,Scotch
2208.30.13,Blended
2208.30.19,other
2208.30.91,Bourbon whiskey
2208.30.92,Scotch
2208.30.93,Blended
2208.30.99,other
2208.40.11,Rum
2208.40.12,Other
2208.40.91,Rum
2208.40.92,Other
2208.50,Gin and Geneva
2208.50.11,Gin
2208.50.12,Geneva
2208.50.13,Vodka
2208.50.91,Gin
2208.50.92,Geneva
2208.50.93,Vodka
2208.70,Liqueurs and cordials
2208.70.11,Liqueurs
2208.70.12,Cordials
2208.70.91,Liqueurs
2208.70.92,Cordials
2208.90,Other
2208.90.11,Tequila
2208.90.12,Indentured ethyl alcohol
2208.90.19,Other
2208.90.91,Tequila
2208.90.92,Indentured ethyl alcohol
2208.90.99,Other
2209,Vinegar and substitutes for vinegar obtained from acetic acid.
2209.00,Vinegar and substitutes for vinegar obtained from acetic acid.
2209.00.10,Brewed vinegar
2209.00.20,Synthetic vinegar
2209.00.90,Other
2301,"crustaceans, molluscs or other aquatic invertebrates, unfit for"
2301.10,"- Flours, meals and pellets, of meat or meat offal; greaves"
2301.10.10,Meat meals and pellets (including tankage)
2301.10.90,Other (including greaves)
2301.20.11,In powder form
2301.20.19,Other
2301.20.90,Other
2302,"pellets, derived from the sifting, milling or other working of cereals"
2302.10,of maize (corn)
2302.10.10,Maize Bran
2302.10.90,Other
2302.30,of wheat
2302.30.00,Of wheat
2302.40,of Other cereals
2302.40.00,Of other cereals
2302.50,of leguminous plants
2302.50.00,Of leguminous plants
2303,"bagasse and other waste of sugar manufacture, brewing or distilling"
2303.10,Residues of starch manufacture and similar Residues
2303.10.00,Residues of starch manufacture and similar residues
2303.20,"beet-pulp, bagasse and Other Waste of sugar manufacture"
2303.20.00,"Beet-pulp, bagasse and other waste of sugar manufacture"
2303.30,Brewing or distilling dregs and Waste
2303.30.00,Brewing or distilling dregs and waste
2304.00.10,"Oil-cake and oil-cake meal of soyabean, expeller variety"
2304.00.20,"Oil-cake of soyabean, solvent extract (defatted) variety"
2304.00.30,"Meal of soyabean, solvent extracted (defatted)"
2304.00.90,Other
2305.00.10,"Oil-cake and oil-cake meal of ground nut, expeller variety"
2305.00.90,Other
2306,"form of pellets, resulting from the extraction of vegetable fats or oils,"
2306.10,of cotton Seeds
2306.10.10,"Oil-cake and oil-cake meal, decorticated expeller variety"
2306.10.20,"Oil-cake and oil-cake meal, decorticated, solvent extract (defatted)variety"
2306.10.30,"Oil-cake and oil-cake meal, undecorticated, expeller variety"
2306.10.90,Other
2306.20,of linseed
2306.20.10,"Oil-cake and oil-cake meal, expeller variety"
2306.20.20,"Oil-cake and oil-cake meal, solvent extracted (defatted) variety"
2306.20.90,Other
2306.30,of sunflower Seeds
2306.30.10,"Oil-cake and oil-cake meal, expeller variety"
2306.30.20,"Oil-cake and oil-cake meal, solvent extracted (defatted) variety"
2306.30.90,Other
2306.41,of low erucic acid rape or colza Seeds
2306.41.00,Of low erucic acid rape or colza seeds
2306.49,Other
2306.49.00,Other
2306.50,of coconut or copra
2306.50.10,"Oil-cake and oil-cake meal, expeller variety"
2306.50.20,"Oil-cake and oil-cake meal, solvent extracted (defatted) variety"
2306.50.90,Other
2306.60,of Palm nuts or kernels
2306.60.00,Of palm nuts or kernels
2306.90,Other
2306.90.11,Of mowra seeds
2306.90.12,Of mustard seeds
2306.90.13,Of niger seeds
2306.90.14,Of seasamum seed
2306.90.15,Of mango kernel
2306.90.16,Of sal (de-oiled)
2306.90.17,Of castor seeds
2306.90.18,Of neem seeds
2306.90.19,Of other seeds
2306.90.21,Of mustard seeds
2306.90.22,Of niger seeds
2306.90.23,Of cardi seeds
2306.90.24,Of seasamum seed
2306.90.25,Of mango kernel
2306.90.26,Of sal (de-oiled)
2306.90.27,Of castor seeds
2306.90.28,Of neem seeds
2306.90.29,Of other seeds
2306.90.30,Residues babool seed extraction
2306.90.90,Other
2307,Wine lees; argol.
2307.00,Wine lees; argol.
2307.00.00,WINE LESS; ARGOL
2308,"products, whether or not in the form of pellets, of a kind used in"
2308.00,"products, whether or not in the form of pellets, of a kind used in"
2309,Preparations of a kind used in animal feeding.
2309.10,"Dog or cat food, put up for retail sale"
2309.10.00,"Dog or cat food, put up for retail sale"
2309.90,Other
2309.90.10,Compounded animal feed
2309.90.20,Concentrates for compound animal feed
2309.90.31,Prawn and shrimps feed
2309.90.32,Fish meal in powdered form
2309.90.39,Other
2309.90.90,Other
2401,Unmanufactured tobacco; tobacco refuse.
2401.10,"tobacco, Not stemmed/stripped"
2401.10.10,Flue cured virginia tobacco
2401.10.20,Sun cured country(natu) tobacco
2401.10.30,Sun cured virginia tobacco
2401.10.40,burley tobacco
2401.10.50,"Tobacco for manufacture of biris, not stemmed"
2401.10.60,Tobacco for manufacture of chewing tobacco
2401.10.70,Tobacco for manufacture of cigar and cheroot
2401.10.80,Tobacco for manufacture of hookah tobacco
2401.10.90,Other
2401.20,"tobacco, partly or wholly stemmed/stripped"
2401.20.10,Flue cured virginia tobacco
2401.20.20,Sun cured country (natu) tobacco
2401.20.30,Sun cured virginia tobacco
2401.20.40,Burley tobacco
2401.20.50,"Tobacco for manufacture of biris,"
2401.20.60,Tobacco for manufacture of chewing tobacco
2401.20.70,Tobacco for manufacture of cigar and cheroot
2401.20.80,Tobacco for manufacture of hookah tobacco
2401.20.90,Other
2401.30,tobacco refuse
2401.30.00,Tobacco refuse
2402.10,"Cigars, cheroots and cigarillos, containing tobacco"
2402.10.10,Cigar and cheroots
2402.10.20,Cigarillos
2402.20,Cigarettes containing tobacco
2402.20.10,"Other than filter cigarettes, of length not exceeding 60 millimetres"
2402.20.30,"filter being 11 millimetres or its actual length, whichever is more) not"
2402.20.40,"filter beign 11 millimetres or its actual length, whichever is more)"
2402.20.50,"filter being 11 millimetres or its actual length, whichever is more"
2402.20.60,"filter being 11 millimetres or its actual length, whichever is more"
2402.20.90,Other
2402.90,Other
2402.90.10,Cigarettes of tobacco substitutes
2402.90.20,Cigarillos of tobacco substitutes
2402.90.90,Other
2403,“homogenised” or “reconstituted” tobacco; tobacco extracts and
240311,Water pipe tobacco specified in Sub heading Note to this Chapter:
2403.11.10,Hookah or gudaku tobacco
2403.1190,Other
2403.19,Other
2403.1910,Smoking mixtures for pipes and cigarettes
2403.19,21
2403.1929,Other
2403.1990,Other
24039100,Hmogenised or reconsitituted tobacco
240399,Other
24039910,Chewing tobacco
2403.99.20,Preparations containing chewing tobacco
2403.99.30,Jarda scented tobaco
2403.99.40,Snuff
2403.99.50,Preparations containing snuff
2403.99.60,Tobacco extracts and essence
2403.99.70,Cut-tobacco
2403.99.90,Other
2501,"chloride, whether or not in aqueous solution or containing added"
2501.00,"chloride, whether or not in aqueous solution or containing added"
2501.00.10,Common Salt (including iodised salt)
2501.00.20,Rock Salt
2501.00.90,Other
2502,Unroasted iron pyrites.
2502.00,Unroasted iron pyrites.
2502.00.00,Unroasted iron pyrites
2503.00.10,Sulphur recovered as by-product in refining of crude oil
2503.00.90,Other
2504,Natural graphite.
2504.10,in powder or in Flakes
2504.10.10,"Graphite, crystalline"
2504.10.20,"Graphite, amorphous"
2504.10.90,Other
2504.90,Other
2504.90.10,"Graphite, micronised"
2504.90.90,Other
2505.10,silica sands and quartz sands
2505.10.11,Processed (White)
2505.10.12,Processed (Brown)
2505.10.19,Other
2505.10.20,Quartz sands
2505.90,Other
2505.90.00,Other
2506,"trimmed or merely cut, by sawing or otherwise, into blocks or slabs"
2506.10,quartz
2506.10.10,In lumps
2506.10.20,In powder <br> Quartzite :
2506.20,Quartzite
2506.20.10,In lumps
2506.20.20,In powder
2506.20.90,Other
2507,"Kaolin and other kaolinic clays, whether or not calcined."
2507.00,"Kaolin and other kaolinic clays, whether or not calcined."
2507.00.10,Crude <br> Other:
2507.00.21,Pharmaceutical grade
2507.00.22,Ceramic grade
2507.00.29,Other
2508,"andalusite, kyanite and sillimanite, whether or not calcined; mullite;"
2508.10,Bentonite
2508.10.10,Crude
2508.10.90,"Other (includes processed, activated and ground)"
2508.30,Fire-clay
2508.30.10,Non-plastic
2508.30.20,Semi-plastic
2508.30.30,Plastic
2508.30.90,Other
2508.40,Other clays
2508.40.10,Ball Clay
2508.40.20,Earth Clay
2508.40.90,Other
2508.50,"Andalusite, kyanite and sillimanite"
2508.50.10,Andalusite <br> Kyanite:
2508.50.21,"Crude,other than calcined"
2508.50.23,Calcined <br> Sillimanite:
2508.50.31,Lumps
2508.50.32,Fines (including sand)
2508.50.39,Other
2508.60,Mullite
2508.60.00,Mullite
2508.70,Chamotte or dinas earths
2508.70.00,Chamotte or dinas earths
2509,Chalk.
2509.00,Chalk.
2509.00.00,Chalk
2510.10,Unground
2510.10.10,Natural calcium phosphates
2510.10.20,Natural aluminium calcium phosphate
2510.10.30,Natural calcium phosphate apatite
2510.10.90,Other
2510.20,ground
2510.20.10,Natural calcium phosphates
2510.20.20,Natural aluminium calcium phosphates
2510.20.30,Natural calcium phosphates apatite
2510.20.90,Other
2511,"(witherite), whether or not calcined, other than barium oxide of"
2511.10,Natural barium sulphate (barytes)
2511.10.10,Lumps
2511.10.20,Powder
2511.10.90,Other
2511.20,Natural barium carbonate (witherite)
2511.20.00,Natural barium carbonate (witherite)
2512,"diatomite) and similar siliceous earths, whether or not calcined, of"
2512.00,"diatomite) and similar siliceous earths, whether or not calcined, of"
2512.00.10,Kieselguhr
2512.00.20,Tripolite
2512.00.30,Diatomite
2512.00.90,Other
2513.10,Pumice stone
2513.10.00,"Crude or in irregular pieces, including crushed pumice (“bimskies”)"
2513.20.10,Emery
2513.20.20,Natural Corundum
2513.20.30,Natural garnet
2513.20.90,Other
2514,"otherwise, into blocks or slabs of a rectangular (including square)"
2514.00,"otherwise, into blocks or slabs of a rectangular (including square)"
2515,"alabaster, whether or not roughly trimmed or merely cut, by sawing"
2515.11,Crude or roughly trimmed
2515.11.00,Crude or roughly trimmed
2515.12.10,Blocks
2515.12.20,Slabs
2515.12.90,Other
2515.20.10,Alabaster
2515.20.90,Other
2516.11,Crude or roughly trimmed
2516.11.00,Crude or roughly trimmed
2516.20,Sandstone
2516.20.00,Crude or roughly trimmed
2516.90,Other monumental or Building stone
2516.90.10,Pakur stone
2516.90.20,Stone boulders
2516.90.90,Other
2517,"slag, dross or similar industrial waste, whether or not incorporating"
2517.10,"for Concrete aggregates, for road metalling or for railway or Other"
2517.10.10,"Pakur stone, crushed or broken"
2517.10.20,Flint
2517.10.90,Other
2517.30,Tarred macadam
2517.41,of marble
2517.41.00,Of marble
2517.49,Other
2517.49.00,Other
2518.10,"dolomite, Not calcined or sintered"
2518.10.00,"Dolomite, not calcined sintered"
2518.20,calcined or sintered dolomite
2518.20.00,Calcined or sintered dolomite
2518.30,dolomite ramming mix
2518.30.00,Dolomite ramming mix
2519.10,Natural magnesium carbonate (magnesite)
2519.10.00,Natural magnesium carbonate (magnesite)
2519.90,Other
2519.90.10,Fused magnesia (natural)
2519.90.20,Dead-burnt (sintered )magnesia
2519.90.40,Magnesium oxide
2519.90.90,Other
2520,"calcium sulphate) whether or not coloured, with or without small"
2520.10,- Gypsum; anhydrite
2520.10.10,Natural
2520.10.20,Marine
2520.10.90,Other
2520.20,Plasters
2520.20.10,Calcined
2520.20.90,Other
2521.00.10,Limestone flux (L.D. below 1% SiO2)
2521.00.90,Other
2522.10,Quicklime
2522.10.00,Quicklime
2522.20,Slaked lime
2522.20.00,Slaked lime
2522.30,hydraulic lime
2522.30.00,Hydraulic lime
2523,"cement and similar hydraulic cements, whether or not coloured or in"
2523.10,cement clinkers
2523.10.00,Cement Clinkers <br> Portland cement:
2523.21,"white cement, whether or Not artificially coloured"
2523.21.00,"White cement, whether or not artificially coloured"
2523.29,Other
2523.29.10,"Ordinary portland cement, dry"
2523.29.20,"Ordinary portland cement, coloured"
2523.29.30,Portland pozzolana Cement
2523.29.40,Portland slag cement
2523.29.90,Other
2523.30,Aluminous cement
2523.30.00,Aluminous cement :
2523.90,Other hydraulic cements
2523.90.10,"Sagol, ashmoh"
2523.90.20,High alumina refractory cement
2523.90.90,Other
2524,Asbestos.
2524.10,Crocidolite
2524.10.10,Crocidolite
2524.90,Other
2524.90.11,Chrysosotile
2524.90.12,Amphibole
2524.90.13,Chrysolite
2524.90.14,Amosite
2524.90.19,other
2524.90.21,Chrysosotile
2524.90.22,Amphibole
2524.90.23,Chrysolite
2524.90.24,Amosite
2524.90.29,other
2524.90.31,Chrysosotile
2524.90.32,Amphibole
2524.90.33,Chrysolite
2524.90.34,Amosite
2524.90.39,other
2524.90.91,Waste
2524.90.99,Other
2525,"Mica, including splitings; mica waste."
2525.10,Crude mica and mica rifted into sheets or splittings
2525.10.10,Mica blocks
2525.10.20,Condensor films trimmed but not cut to shape
2525.10.30,"Mica splittings, book form"
2525.10.40,"Mica splittings, loose"
2525.10.90,Other
2525.20,mica powder
2525.20.10,"Mica flakes, 2.20 mesh"
2525.20.20,"Mica powder, dry ground"
2525.20.30,"Mica powder, micronised"
2525.20.40,"Mica powder, wet ground"
2525.20.50,"Mica powder, calcined"
2525.20.90,Other
2525.30,mica Waste
2525.30.10,Mica mine scrap & waste
2525.30.20,Mica factory scrap
2525.30.30,Mica cuttings book form
2525.30.90,Other
2526,"sawing or otherwise, into blocks or slabs of a rectangular (including"
2526.10,"Not crushed, Not powdered"
2526.10.10,"Steatite (soap stone, etc.) block"
2526.10.20,"Steatite (soap stone, etc.) lumps"
2526.10.90,Other
2526.20,crushed or powdered
2526.20.00,Crushed or powdered
2528,00
2528.00,10
2528.00.20,Natural boric acid (containing not more than 85% of H3BO3 )
2528.00.30,Natural calcium borates & concentrates thereof (whether or not calcined)
2528.00.90,Other
2529,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar."
2529.10,Feldspar
2529.10.10,Lumps
2529.10.20,Powder
2529.21.00,Containing by weight 97% or less of calcium flouride
2529.22.00,Containing by weight more than 97% of calcium fluoride
2529.30.00,Leucite; nepheline and nepheline syenite
2530,Mineral substances not elsewhere specified or included.
2530.10,"Vermiculite, perlite and chlorites, unexpanded"
2530.10.10,Vermiculite
2530.10.20,Perlite
2530.10.90,Others (including powder)
2530.20,"Kieserite, epsomite (Natural magnesium sulphates)"
2530.20.00,"Kieserite, epsomite (natural magnesium sulphates)"
2530.90,Other
2530.90.10,"meerachaum & agglomerated amber in plates, rods, etc. not worked after"
2530.90.20,Natural arsenic sulphides (e.g. orpiment)
2530.90.30,Calcite
2530.90.40,Ores & concentrates of rare earth metals
2530.90.50,Wollastonite
2530.90.60,"Earth colour ochre, crude"
2530.90.70,Other processed earth colour ochre.
2530.90.91,Strontium Sulphate (natural ore)
2530.90.99,Other
2601,"Iron ores and concentrates, including roasted iron pyrites"
2601.11,-- Non-agglomerated:
2601.11.11,---- 60% Fe or more but below 62% Fe
2601.11.12,---- 62% Fe or more but below 65% Fe
2601.11.19,---- 65% Fe and above
2601.11.21,---- Below 55% Fe
2601.11.22,---- 55% Fe or more but below 58% Fe
2601.11.29,---- 58% Fe or more but below 60% Fe
2601.11.31,---- 62% Fe or more but below 65% Fe
2601.11.39,---- 65% Fe and above
2601.11.41,---- Below 55% Fe
2601.11.42,---- 55% Fe or more but below 58% Fe
2601.11.43,---- 58% Fe or more but below 60% Fe
2601.11.49,---- 60% Fe or more but below 62% Fe
2601.11.50,Iron ore concentrates
2601.11.90,Other
2601.12,agglomerated
2601.12.10,Iron ore pellets
2601.12.90,Other
2601.20,roasted iron pyrites
2601.20.00,Roasted iron pyrites
2602,manganese ores and concentrates with a manganese content of 20%
2602.00,manganese ores and concentrates with a manganese content of 20%
2602.00.10,Manganese ore (46% and more)
2602.00.20,Manganese ore (44% and more but below 46%)
2602.00.30,Manganese ore (40% and more but below 44%)
2602.00.40,Manganese ore (35% or more but below 40%)
2602.00.50,Manganese ore (30% or more but below 35%)
2602.00.60,Ferruginous (10% or more but below 30%)
2602.00.70,"Manganese ore sinters, agglomerated"
2602.00.90,Other
2603,Copper ores and concentrates.
2603.00,Copper ores and concentrates.
2603.00.00,Copper ores and concertrates
2604,Nickel ores and concentrates.
2604.00,Nickel ores and concentrates.
2604.00.00,Nickel ores and concentrates
2605,Cobalt ores and concentrates.
2605.00,Cobalt ores and concentrates.
2605.00.00,Cobalt ores and concentrates
2606,Aluminium ores and concentrates.
2606.00,Aluminium ores and concentrates.
2606.00.10,"Bauxite (natural), not calcined"
2606.00.20,"Bauxite (natural), calcined"
2606.00.90,Other aluminium ores and concentrates
2607,Lead ores and concentrates.
2607.00,Lead ores and concentrates.
2607.00.00,Lead ores and concentrates
2608,Zinc ores and concentrates.
2608.00,Zinc ores and concentrates.
2608.00.00,Zinc ores and concentrates
2609,Tin ores and concentrates.
2609.00,Tin ores and concentrates.
2609.00.00,Tin ores and concentrates
2610,Chromium ores and concentrates.
2610.00,Chromium ores and concentrates.
2610.00.10,"Chrome ore lumps, containing 47% Cr2O3 and above"
2610.00.20,"Chrome ore lumps, containing 40% or more but less than 47% Cr2O3"
2610.00.30,Chrome ore lumps below 40% Cr2O3
2610.00.90,Other
2611,Tungsten ores and concentrates.
2611.00,Tungsten ores and concentrates.
2611.00.00,Tungsten ores and concentrates
2612,Uranium or thorium ores and concentrates.
2612.10,Uranium ores and concentrates
2612.10.00,Uranium ores and concentrates
2612.20,Thorium ores and concentrates
2612.20.00,Thorium ores and concentrates
2613,Molybdenum ores and concentrates.
2613.10,roasted
2613.10.00,Roasted
2613.90,Other
2613.90.00,Other
2614,Titanium ores and concentrates.
2614.00,Titanium ores and concentrates.
2614.00.10,Ilmenite unprocessed
2614.00.20,"Ilmenite, upgraded (beneficiated ilmenite including ilmenite ground)."
2614.00.31,Rare earth oxides including rutile sand
2614.00.39,Other
2614.00.90,Other
2615,"Niobium, tantalum, vanadium or zirconium ores and concentrates."
2615.10,Zirconium ores and concentrates
2615.10.00,Zirconium ores and concentrates
2615.90,Other
2615.90.10,Vanadium ores and concentrates
2615.90.20,Niobium tantalum ores anc concentrates
2616,Precious metal ores and concentrates.
2616.10,Silver ores and concentrates
2616.10.00,Silver ores and concentrates
2616.90,Other
2616.90.10,Gold ores and concentrates
2616.90.90,Other
2617,Other ores and concentrates.
2617.10,antimony ores and concentrates
2617.10.00,Antimony ores and concentrates
2617.90,Other
2617.90.00,Other
2618,Granulated slag (slag sand) from the manufacture of iron or steel.
2618.00,Granulated slag (slag sand) from the manufacture of iron or steel.
2618.00.00,Granulated slag (slag sand) from the manufacture of iron or steel
2619.00.10,Converted slag (scull) of blast furnace
2619.00.90,Other
2620.11,Hard zinc spelter
2620.11.00,Hard zinc spelter
2620.19,Other
2620.19.00,Other
2620.21,Leaded gasoline sludges and Leaded anti-knock compound sludges
2620.21.00,leaded gasoline sludges and leaded anti-knock compoundsludges
2620.29,Other
2620.29.00,Other
2620.30,containing Mainly copper
2620.30.10,Brass dross
2620.30.90,Other
2620.40,containing Mainly aluminium
2620.40.10,Aluminum dross
2620.40.90,Other
2620.60,used for the extraction of arsenic or those metals or for the
2620.60.00,the extraction of arsenic or those metals or for the manufacture of their
2620.91.00,"Containing antimony , beryllium, cadmium , chromium or their mixtures"
2620.99,Other
2620.99.00,other
2621.10,ash and Residues from the incineration of municipal Waste
2621.10.00,ash and residues from the incineration of municipal waste
2621.90,Other
2621.90.00,Other
2701.11.00,Anthracite
2701.12.00,Bituminous coal
2701.19,Other coal
2701.19.10,Coking coal
2701.19.20,Steam coal
2701.19.90,Other
2701.20,"Briquettes, ovoids and similar solid fuels manufactured from coal"
2701.20.10,Anthracite agglomerated
2701.20.90,Other
2702,"Lignite, whether or not agglomerated, excluding jet."
2702.10.00,"Lignite, whether or not pulverized, but not agglomerated"
